| date | open | last | high | low | volume | amount | exchange |
| 2022-04-01 | 180.38 | 179.5 | 181.96 | 176.69 | 51188731 | 9209227821 | 0.00 |
| 2022-03-25 | 179.33 | 182.38 | 183.51 | 178.32 | 51645352 | 9354607893 | 0.00 |
| 2022-03-18 | 183.03 | 179.3 | 183.29 | 176.87 | 72647343 | 13088970206 | 0.00 |
| 2022-03-11 | 184.45 | 185.09 | 193.3 | 183.44 | 2902645777 | 51846575055995 | 0.00 |
| 2022-03-04 | 178.86 | 183.68 | 183.98 | 176.5 | 9484253400 | 171185888360000 | 0.00 |
| 2022-02-25 | 177.67 | 176.55 | 182.6 | 175.27 | 7079154300 | 125770160410000 | 0.00 |
| 2022-02-18 | 173.78 | 177.12 | 177.53 | 172.39 | 7031074500 | 123255784840000 | 0.00 |
| 2022-02-11 | 169.45 | 173.81 | 174.2 | 169.19 | 5796491600 | 99506544440000 | 0.00 |
| 2022-02-04 | 167.79 | 168.86 | 169.12 | 167.03 | 4760755900 | 80164493020000 | 0.00 |
| 2022-01-28 | 171.78 | 167.1 | 173.15 | 166.37 | 7634498300 | 129691613880000 | 0.00 |
| 2022-01-21 | 169.64 | 171.09 | 172.6 | 169.09 | 4554029700 | 77963230910000 | 0.00 |
| 2022-01-14 | 167.36 | 169.67 | 170.75 | 167.31 | 3652621300 | 61936066480000 | 0.00 |
| 2022-01-07 | 168.86 | 167.75 | 170.93 | 166.86 | 4375743800 | 73680480970000 | 0.00 |
| 2021-12-31 | 168.96 | 170.96 | 171.04 | 167.28 | 0 | 0 | 0.00 |
| 2021-12-23 | 167.88 | 168.97 | 169.16 | 166.74 | 0 | 0 | 0.00 |
| 2021-12-17 | 166.9 | 167.8 | 169.13 | 163.8 | 0 | 0 | 0.00 |
| 2021-12-10 | 166.14 | 166.58 | 167.08 | 165.65 | 0 | 0 | 0.00 |
| 2021-12-03 | 166.84 | 166.63 | 169.01 | 164.63 | 0 | 0 | 0.00 |
| 2021-11-26 | 169.9 | 166.85 | 170.44 | 166.32 | 0 | 0 | 0.00 |
| 2021-11-19 | 174.1 | 172.61 | 174.61 | 172.24 | 0 | 0 | 0.00 |
| 2021-11-12 | 170.43 | 174.45 | 174.67 | 170.06 | 0 | 0 | 0.00 |
| 2021-11-05 | 167.38 | 169.84 | 169.94 | 164.38 | 0 | 0 | 0.00 |
| 2021-10-29 | 168.66 | 166.65 | 169.25 | 165.64 | 0 | 0 | 0.00 |
| 2021-10-22 | 165.42 | 167.77 | 169.54 | 164.81 | 0 | 0 | 0.00 |
| 2021-10-15 | 164.04 | 165.33 | 168.22 | 163.91 | 0 | 0 | 0.00 |
| 2021-10-08 | 163.69 | 164.23 | 166.42 | 163.47 | 0 | 0 | 0.00 |
| 2021-10-01 | 163.85 | 164.59 | 164.96 | 160.97 | 0 | 0 | 0.00 |
| 2021-09-24 | 164.29 | 163.3 | 167.15 | 162.74 | 0 | 0 | 0.00 |
| 2021-09-17 | 167.45 | 163.77 | 169.16 | 163.23 | 0 | 0 | 0.00 |
| 2021-09-10 | 169.56 | 167.18 | 169.78 | 166.7 | 0 | 0 | 0.00 |
| 2021-09-03 | 169.66 | 171.06 | 171.55 | 168.75 | 0 | 0 | 0.00 |
