date,nav_mult_3y,nav_mult_5y,nav_mult_10y,dd_3y,dd_5y,dd_10y,hs300_mult_10y,nav_3y_yuan,nav_5y_yuan,nav_10y_yuan
2023-04-28,,1.3962,5.2026,,0.0000,0.0000,1.2432,,10302313.7111,10302313.7111
2023-05-05,,1.3946,5.1968,,-0.0011,-0.0011,1.2664,,10290778.1739,10290778.1739
2023-05-12,,1.3658,5.0895,,-0.0217,-0.0217,1.2471,,10078247.6909,10078247.6909
2023-05-19,,1.3492,5.0275,,-0.0337,-0.0337,1.2425,,9955552.9385,9955552.9385
2023-05-26,,1.3511,5.0346,,-0.0323,-0.0323,1.2084,,9969585.3410,9969585.3410
2023-06-02,,1.3396,4.9918,,-0.0405,-0.0405,1.1976,,9884896.5733,9884896.5733
2023-06-09,,1.3544,5.0469,,-0.0299,-0.0299,1.1965,,9993896.8989,9993896.8989
2023-06-16,,1.3649,5.0861,,-0.0224,-0.0224,1.2079,,10071618.3800,10071618.3800
2023-06-21,,1.3796,5.1411,,-0.0118,-0.0118,1.2238,,10180516.4874,10180516.4874
2023-06-30,,1.3648,5.0856,,-0.0225,-0.0225,1.2039,,10070683.6097,10070683.6097
2023-07-07,,1.3765,5.1292,,-0.0141,-0.0141,1.2096,,10156942.8089,10156942.8089
2023-07-14,,1.3783,5.1362,,-0.0128,-0.0128,1.2136,,10170742.3220,10170742.3220
2023-07-21,,1.3794,5.1401,,-0.0120,-0.0120,1.2063,,10178489.0652,10178489.0652
2023-07-28,1.0000,1.3780,5.1350,0.0000,-0.0130,-0.0130,1.2031,10168496.2418,10168496.2418,10168496.2418
2023-08-04,1.0202,1.4058,5.2387,0.0000,0.0000,0.0000,1.2537,10373738.3431,10373738.3431,10373738.3431
2023-08-11,1.0082,1.3893,5.1769,-0.0118,-0.0118,-0.0118,1.2302,10251453.9909,10251453.9909,10251453.9909
2023-08-18,0.9941,1.3698,5.1045,-0.0256,-0.0256,-0.0256,1.1980,10107996.5128,10107996.5128,10107996.5128
2023-08-25,0.9858,1.3585,5.0623,-0.0337,-0.0337,-0.0337,1.1703,10024415.0297,10024415.0297,10024415.0297
2023-09-01,0.9999,1.3779,5.1346,-0.0199,-0.0199,-0.0199,1.1847,10167608.7215,10167608.7215,10167608.7215
2023-09-08,1.0072,1.3880,5.1723,-0.0127,-0.0127,-0.0127,1.1798,10242203.8684,10242203.8684,10242203.8684
