组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['PPLT', 'QQQ', 'MARA', 'WULF']",24.709209618885748,-9.293785715449232,3.8767228579833226,12.408943923908563,0.25805676362687174,65.9167925927412,6.868193062070949,-0.5369022781406112,14.333333333333334
"['MSTR', 'MARA', '3968_HK', '700_HK_TENCENT']",23.631716680730097,-9.415362228959845,6.128763410858242,19.35344700373109,0.2164276702511918,67.57893416372411,1.488583693709582,-0.6167513162636438,14.416666666666666
"['QCOM', 'TCOM', 'MARA', '1211_HK']",22.45684785183378,-9.43361943552068,4.837247035327418,15.590769093168555,0.15982780691217033,66.65210650861314,3.596596940800427,-0.4652224773732804,14.416666666666666
"['KHC', 'EMR', 'CLF', 'MARA']",22.78784416139688,-9.514981335085038,1.0166322593597368,3.679172824915227,0.21058959799332758,64.78203706407776,7.387367512012443,-0.5974380395861181,14.166666666666666
"['VLO', 'GOLD', 'UEC', 'MARA']",25.236945139530647,-9.624565225484915,6.001368422488844,19.453864164451222,0.15809119710216601,73.61134607434384,6.452713848150733,-0.65776666528112,14.416666666666666
"['SMCI', 'SCHW', 'REGN', 'MARA']",23.358659143892254,-9.665838716689912,9.553644756828954,30.017957388421316,0.08609970092277035,67.12268392327334,3.419743603714679,-0.6356080747035217,14.416666666666666
"['SMCI', 'VRTX', 'NUE', 'MARA']",23.389774797939022,-9.691202297113,11.266512307602381,35.059332299513486,0.11589053051166291,68.56737702871165,2.2995868127169268,-0.607050257817338,14.416666666666666
"['BIDU', 'ENPH', 'TMUS', 'MARA']",26.21610973280117,-9.907704289274232,4.77993728627854,16.31547041043324,0.12276949672682269,72.08028021508241,5.1018975744369826,-0.6496002356973434,14.416666666666666
"['CLF', 'ALB', 'CMCSA', 'MARA']",23.85469742191574,-9.922582663051882,1.0635446776346682,4.136963623169706,0.2987258033882081,68.00824442362668,1.9202071181081057,-0.6120605660867509,14.416666666666666
"['XLK', 'RIO', 'ENPH', 'MARA']",24.871104390016622,-9.969850786778167,4.9181587740881385,16.87211507938236,0.25888371391482196,67.01178614661549,3.8913257401203833,-0.6998648582610114,14.416666666666666
"['ISRG', 'NKE', 'UEC', 'MARA']",23.216232627893238,-10.037325227194316,2.860458414277376,10.351934397000289,0.22423173959459208,65.9571671886856,1.9339175685113448,-0.45798882132883323,14.416666666666666
"['XLI', 'MA', 'MARA', 'WULF']",24.6016564188448,-10.06799053727947,5.550651763455166,18.922564720768857,0.30163103337973535,64.8945110305857,3.89657111882333,-0.3836405373827799,14.333333333333334
"['RCL', 'PSX', 'GOLD', 'MARA']",22.49446966981258,-10.277320757650422,4.950573275156256,17.602998895127918,0.14250947153301477,67.2292513241618,2.0027130368622403,-0.6816864066020423,14.416666666666666
"['XLF', 'AMGN', 'UEC', 'MARA']",22.517922948017006,-10.322789413297118,3.7024603975750336,13.568243971049124,0.23499463236804793,62.098643186029875,1.2420843955124907,-0.2751575766782486,14.416666666666666
"['NXPI', 'PLUG', 'WULF', 'AMD_US']",25.059144213649276,-10.332417151205785,23.1383730763948,72.54470861248626,0.20015452856861496,76.1302309480013,11.093634740189941,-0.6602749147466132,14.333333333333334
"['T', 'MARA', 'WULF', '921_HK']",26.37432804828965,-10.485586649544354,5.708209695168678,20.381676761184124,0.049382400535699346,72.02482566106161,11.728064996551844,-0.6214687328485242,14.333333333333334
"['OXY', 'UEC', 'MARA', '1929_HK']",24.33317157327982,-10.625905350471388,1.7303159253863707,7.045493602944308,0.23898449609043906,70.05134018415346,3.641460524661456,-0.6956810945043084,14.416666666666666
"['PSX', 'UEC', 'MARA', '3968_HK']",23.69750963673651,-10.740353030083094,4.53245506286118,17.1534136885477,0.18835242125158216,67.1862725561023,1.8206207297243786,-0.35337388239928835,14.416666666666666
"['EEM', 'CLF', 'SQM', 'MARA']",23.563596042362526,-10.838037061684435,0.8431251934515634,3.779560119440245,0.2901591771831382,66.59268519702938,2.2210415941963513,-0.6405811853312199,14.416666666666666
"['GE', 'UEC', 'MARA', '1898_HK']",23.494985749829294,-10.875960424254627,2.456752614617619,9.989297038564475,0.1962223858642653,66.5582538938297,1.6541615599790034,-0.750276529579659,14.416666666666666
"['AVGO', 'CDNS', 'MARA', 'WULF']",26.17356284897538,-10.901282409848555,10.84408319222331,38.443676473586905,0.2859700170142322,72.74000021023379,4.085727474777418,-0.5172176542196372,14.333333333333334
"['EWJ', 'BMY', 'UEC', 'MARA']",22.371488061615104,-10.9432933419513,2.2589322035935386,9.334207841000119,0.18975178271218396,61.067920322236304,1.9429052882124564,-0.39086255166700945,14.416666666666666
"['BAC', 'HON', 'MARA', 'WULF']",25.26154393779283,-11.064276877151059,3.910018390239685,15.44834132393746,0.3132778644217894,67.7044308082176,2.692786485648573,-0.4878724487483673,14.333333333333334
"['AAPL', 'GIS', 'PLUG', 'MARA']",31.004158220838505,-11.17252690702335,4.6285568933485415,18.399587283984403,0.11416344583648952,74.80209902669321,11.396928825190194,-0.7927205757238358,14.416666666666666
"['MCHI', 'UEC', 'MARA', '2208_HK']",24.153530693333643,-11.271121045110966,2.462234226513725,10.506678349735873,0.19817827572323402,68.2241285761972,1.647377475662459,-0.5326291503506556,14.416666666666666
"['IWM', 'ALB', 'ENPH', 'MARA']",25.714535744977884,-11.333517617190282,2.626250647778907,11.222781470834772,0.3805877407499249,70.52341744336789,1.6123771896989894,-0.8370612422371426,14.416666666666666
